"Electricity Read Date","Electricity Consumption","Electricity Consumption Estimated","Gas Consumption","Gas Consumption Estimated"
"04-12-2018 00:00:00",0.07,N,0.00,N
"04-12-2018 00:30:00",0.07,N,1.57,N
"04-12-2018 01:00:00",0.03,N,0.00,N
"04-12-2018 01:30:00",0.03,N,0.00,N
"04-12-2018 02:00:00",0.04,N,0.00,N
"04-12-2018 02:30:00",0.02,N,0.00,N
"04-12-2018 03:00:00",0.04,N,0.00,N
"04-12-2018 03:30:00",0.02,N,0.00,N
"04-12-2018 04:00:00",0.03,N,0.00,N
"04-12-2018 04:30:00",0.04,N,0.00,N
"04-12-2018 05:00:00",0.10,N,0.00,N
"04-12-2018 05:30:00",0.02,N,0.00,N
"04-12-2018 06:00:00",0.05,N,0.00,N
"04-12-2018 06:30:00",0.02,N,0.00,N
"04-12-2018 07:00:00",0.07,N,1.87,N
"04-12-2018 07:30:00",0.06,N,4.97,N
"04-12-2018 08:00:00",0.09,N,3.59,N
"04-12-2018 08:30:00",0.14,N,4.63,N
"04-12-2018 09:00:00",0.14,N,3.02,N
"04-12-2018 09:30:00",0.06,N,1.82,N
"04-12-2018 10:00:00",0.09,N,2.76,N
"04-12-2018 10:30:00",0.07,N,1.31,N
"04-12-2018 11:00:00",0.07,N,0.00,N
"04-12-2018 11:30:00",0.06,N,0.00,N
"04-12-2018 12:00:00",0.07,N,0.00,N
"04-12-2018 12:30:00",0.05,N,0.00,N
"04-12-2018 13:00:00",0.08,N,2.42,N
"04-12-2018 13:30:00",0.08,N,2.20,N
"04-12-2018 14:00:00",0.08,N,1.63,N
"04-12-2018 14:30:00",0.06,N,1.02,N
"04-12-2018 15:00:00",0.09,N,3.22,N
"04-12-2018 15:30:00",0.08,N,0.17,N
"04-12-2018 16:00:00",0.06,N,0.71,N
"04-12-2018 16:30:00",0.11,N,3.23,N
"04-12-2018 17:00:00",0.06,N,0.64,N
"04-12-2018 17:30:00",0.09,N,2.04,N
"04-12-2018 18:00:00",0.61,N,2.75,N
"04-12-2018 18:30:00",0.13,N,0.31,N
"04-12-2018 19:00:00",0.14,N,0.93,N
"04-12-2018 19:30:00",0.10,N,3.32,N
"04-12-2018 20:00:00",0.15,N,3.05,N
"04-12-2018 20:30:00",0.08,N,2.00,N
"04-12-2018 21:00:00",0.07,N,2.92,N
"04-12-2018 21:30:00",0.16,N,2.19,N
"04-12-2018 22:00:00",0.18,N,2.15,N
"04-12-2018 22:30:00",0.46,N,3.49,N
"04-12-2018 23:00:00",0.45,N,4.51,N
"04-12-2018 23:30:00",0.12,N,2.26,N
